,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
MTIF2,884,2686,594,251,1077,1471,585,1489
MTIF3,243,800,155,58,414,419,166,531
MTM1,436,1284,288,144,753,1065,367,1018
MTMR1,788,2620,654,243,1094,1488,543,1391
MTMR10,372,1170,302,109,580,752,305,853
MTMR11,45,189,37,18,199,257,94,250
MTMR12,137,495,97,47,301,409,147,401
MTMR14,134,486,103,40,1180,1776,625,1576
MTMR2,841,2816,592,233,1256,1716,577,1712
MTMR3,813,2852,710,292,1535,2149,754,2045
MTMR4,421,1280,320,124,678,1050,320,943
MTMR6,569,1754,469,176,1295,1802,671,1764
MTMR7,7,26,8,1,15,27,9,31
MTMR9,470,1311,381,137,676,955,304,921
MTNR1A,1,0,0,0,0,0,0,0
MTNR1B,0,0,0,0,0,0,0,0
MTO1,447,1326,352,160,581,804,323,741
MTOR,3789,12792,3151,1244,2588,3132,1211,3155
MTPAP,647,2127,444,189,699,939,370,970
MTPN,1323,4268,1007,445,2448,3541,1163,3371
MTR,107,368,84,35,612,777,301,744
MTRF1,96,286,65,24,168,235,78,215
MTRF1L,101,257,76,30,192,222,102,225
MTRR,65,355,61,35,173,203,91,211
MTSS1,709,2007,601,217,1034,1424,559,1352
MTSS1L,195,659,187,70,600,803,329,840
MTTP,52,96,32,13,189,259,81,273
MTURN,212,519,115,62,2614,3042,966,3488
MTUS1,2359,7050,1847,774,3682,4955,1852,4906
MTUS2,3,7,0,1,5,8,4,11
MTX1,427,1649,333,141,471,640,296,671
MTX2,1603,5854,1193,567,1513,2319,790,2166
MTX3,972,3054,712,306,1139,1584,562,1417
MUC1,2,18,1,0,27,22,15,25
MUC13,1,4,0,2,2,3,0,4
MUC15,0,1,1,0,0,2,0,0
MUC16,0,0,0,0,0,0,0,0
MUC2,32,80,15,10,10,10,12,8
MUC20,0,0,0,0,0,0,0,0
MUC3A,3,9,2,1,10,9,6,19
MUC4,0,0,1,0,0,0,0,0
MUC5AC,0,0,0,0,1,0,0,0
MUC5B,0,0,0,0,2,1,0,0
MUC6,2,18,3,2,24,16,32,28
MUCL1,1,2,1,0,2,0,0,2
MUL1,764,2902,580,265,857,1191,509,1169
MUM1,176,584,164,54,609,841,294,754
MUM1L1,6,27,8,2,30,33,16,38
MURC,19,111,18,13,22,11,9,60
MUS81,109,450,102,35,281,318,157,349
MUSK,1,3,1,1,1,0,3,2
MUSTN1,18,69,21,9,89,100,42,123
MUT,2163,5622,1457,653,3365,4211,1931,4716
MUTYH,13,61,9,4,24,44,17,40
MVB12A,127,515,95,43,423,505,194,504
MVB12B,78,248,58,25,328,437,154,480
MVD,55,236,63,27,61,79,26,83
MVK,94,366,92,31,188,253,80,252
MVP,476,2578,384,195,1183,1759,550,1514
MX1,6,43,8,3,38,98,18,37
MX2,5,30,8,4,64,76,17,87
MXD1,61,201,56,31,275,392,132,422
MXD3,0,11,4,2,7,12,4,4
MXD4,1235,3698,837,367,2690,3447,1324,3511
MXI1,112,377,67,32,810,1113,382,1207
MXRA7,54,154,50,25,104,147,58,145
MXRA8,55,213,59,17,265,365,140,301
MYADM,580,1679,513,199,2184,2983,1032,2677
MYADML2,1,3,1,1,0,3,0,21
MYB,1,0,0,1,4,5,1,2
MYBBP1A,544,2112,406,206,1289,1383,528,1530
MYBL1,5,23,6,2,28,65,11,41
MYBL2,5,10,2,0,38,51,24,35
MYBPC1,60,34,4,40,1,3,80,908
MYBPC2,82,58,4,31,15,30,83,1187
MYBPC3,0,0,0,0,0,0,0,0
MYBPH,2,2,6,0,2,3,2,44
MYBPHL,1,0,0,0,0,0,0,1
MYC,36,178,23,18,188,368,136,298
MYCBP,264,867,196,73,299,389,153,428
MYCBP2,674,1976,524,200,2922,3731,1310,3606
MYCBPAP,0,5,0,0,2,0,0,0
MYCL,10,66,13,3,322,560,200,425
MYCN,5,5,4,0,4,17,3,9
MYCT1,144,463,115,68,198,433,123,325
MYD88,137,648,130,55,446,573,190,507
MYDGF,249,1020,205,94,383,517,186,522
MYEF2,104,381,105,36,225,292,130,296
MYF5,0,0,0,0,0,0,1,0
MYF6,1,1,0,2,0,0,4,19
MYH1,216,70,6,24,4,3,115,783
